Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48122659  	 6.48122700 
1.01444444  	 6.74354888  	 6.74354929 
1.01888889  	 6.95148027  	 6.95148067 
1.02333333  	 7.12096195  	 7.12096236 
1.02377778  	 7.13620927  	 7.13620981 
1.02428571  	 7.15329725  	 7.15329749 
1.02479365  	 7.17003562  	 7.17003586 
1.02530159  	 7.18643459  	 7.18643483 
1.02580952  	 7.20250330  	 7.20250353 
1.02631746  	 7.21825236  	 7.21825259 
1.02682540  	 7.23368974  	 7.23368997 
1.02733334  	 7.24882446  	 7.24882468 
1.02777778  	 7.26182523  	 7.26182564 
1.03222222  	 7.38050660  	 7.38050701 
1.03666667  	 7.48145493  	 7.48145534 
1.04111111  	 7.56791504  	 7.56791545 
1.04555556  	 7.64237112  	 7.64237153 
1.05000000  	 7.70679973  	 7.70680013 
